[['v', '.', '.', '.', '>', '>', '.', 'v', 'v', '>'], ['.', 'v', 'v', '>', '>', '.', 'v', 'v', '.', '.'], ['>', '>', '.', '>', 'v', '>', '.', '.', '.', 'v'], ['>', '>', 'v', '>', '>', '.', '>', '.', 'v', '.'], ['v', '>', 'v', '.', 'v', 'v', '.', 'v', '.', '.'], ['>', '.', '>', '>', '.', '.', 'v', '.', '.', '.'], ['.', 'v', 'v', '.', '.', '>', '.', '>', 'v', '.'], ['v', '.', 'v', '.', '.', '>', '>', 'v', '.', 'v'], ['.', '.', '.', '.', 'v', '.', '.', 'v', '.', '>']]
         19132957 function calls (19126077 primitive calls) in 5.480 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 apply.py:610(FrameApply)
       42    0.000    0.000    0.000    0.000 inspect.py:2467(__init__)
       57    0.000    0.000    0.001    0.000 typing.py:445(__init__)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
        1    0.000    0.000    0.000    0.000 array.py:223(SparseArray)
       52    0.000    0.000    0.000    0.000 common.py:36(_unpack_zerodim_and_defer)
      236    0.000    0.000    0.000    0.000 typing.py:660(__eq__)
        1    0.000    0.000    0.004    0.004 groupby.py:8(<module>)
        1    0.000    0.000    0.000    0.000 frequencies.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:28(BZ2File)
        8    0.000    0.000    0.000    0.000 enum.py:479(_find_new_)
        1    0.000    0.000    0.001    0.001 nanops.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pickle.py:181(<listcomp>)
        1    0.000    0.000    0.000    0.000 merge.py:3(<module>)
       44    0.000    0.000    0.001    0.000 typing.py:638(copy_with)
        1    0.000    0.000    0.003    0.003 hmac.py:4(<module>)
        1    0.000    0.000    0.008    0.008 npyio.py:1(<module>)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:22(<module>)
      408    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
       16    0.000    0.000    0.000    0.000 extension.py:162(make_wrapped_arith_op)
        4    0.000    0.000    0.000    0.000 mixins.py:51(_unary_method)
        1    0.000    0.000    0.007    0.007 threading.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _methods.py:5(<module>)
      308    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.014    0.014 format.py:4(<module>)
        1    0.000    0.000    0.001    0.001 random.py:38(<module>)
        1    0.000    0.000    0.003    0.003 linalg.py:10(<module>)
       77    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
       19    0.000    0.000    0.000    0.000 enum.py:458(_find_data_type)
        1    0.000    0.000    0.000    0.000 pytables.py:2263(DataCol)
        2    0.000    0.000    0.001    0.000 period.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:6429(MaskedConstant)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        2    0.000    0.000    0.000    0.000 textwrap.py:233(_wrap_chunks)
       56    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
        1    0.000    0.000    0.000    0.000 _xlsxwriter.py:15(_XlsxStyler)
        1    0.000    0.000    0.000    0.000 cast.py:3(<module>)
        1    0.000    0.000    0.003    0.003 tz.py:9(<module>)
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
        1    0.000    0.000    0.003    0.003 readers.py:3(<module>)
        1    0.000    0.000    0.002    0.002 scimath.py:17(<module>)
        1    0.000    0.000    0.075    0.075 generic.py:7(<module>)
       50    0.000    0.000    0.000    0.000 accessor.py:57(forbid_nonstring_types)
       14    0.000    0.000    0.000    0.000 expr.py:188(_filter_nodes)
        1    0.000    0.000    0.001    0.001 expanding.py:40(Expanding)
        1    0.000    0.000    0.000    0.000 categorical.py:248(Categorical)
       18    0.000    0.000    0.000    0.000 base.py:425(find)
        1    0.000    0.000    0.034    0.034 _internal.py:6(<module>)
        2    0.000    0.000    0.000    0.000 generic.py:10513(_add_numeric_operations)
       18    0.000    0.000    0.000    0.000 typing.py:765(__getitem_inner__)
       26    0.000    0.000    0.000    0.000 core.py:6755(getdoc)
        2    0.000    0.000    0.010    0.005 concat.py:3(<module>)
        2    0.000    0.000    0.001    0.000 dataclasses.py:795(_process_class)
       22    0.000    0.000    0.001    0.000 __init__.py:171(flex_method_SERIES)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:153(_add_integer_aliases)
       71    0.000    0.000    0.000    0.000 types.py:164(__get__)
        1    0.000    0.000    0.001    0.001 ops.py:7(<module>)
        3    0.000    0.000    0.004    0.001 __init__.py:5(<module>)
        2    0.000    0.000    0.004    0.002 methods.py:71(_create_methods)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
        1    0.000    0.000    0.004    0.004 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
        1    0.000    0.000    0.000    0.000 records.py:35(<module>)
       10    0.000    0.000    0.000    0.000 dataclasses.py:657(_get_field)
       14    0.000    0.000    0.003    0.000 __init__.py:410(flex_arith_method_FRAME)
        5    0.000    0.000    0.000    0.000 __init__.py:336(__init__)
       30    0.000    0.000    0.000    0.000 getlimits.py:25(_fr1)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:65(_bits_of)
      205    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       18    0.000    0.000    0.000    0.000 common.py:1744(pandas_dtype)
        1    0.000    0.000    0.000    0.000 dtypes.py:119(CategoricalDtype)
        1    0.000    0.000    0.000    0.000 pickle.py:1024(_Unpickler)
        3    0.000    0.000    0.003    0.001 enum.py:638(_convert)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        2    0.000    0.000    0.000    0.000 missing.py:3(<module>)
        1    0.000    0.000    0.001    0.001 multi.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function.py:17(<module>)
       62    0.000    0.000    0.001    0.000 config.py:738(inner)
        1    0.000    0.000    0.007    0.007 _base.py:1(<module>)
        1    0.000    0.000    0.008    0.008 index_tricks.py:1(<module>)
        1    0.000    0.000    0.014    0.014 subprocess.py:42(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:412(_construct_lookups)
        2    0.000    0.000    0.003    0.002 common.py:3(<module>)
        1    0.000    0.000    0.001    0.001 indexing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ntpath.py:6(<module>)
        2    0.000    0.000    0.001    0.001 base.py:3(<module>)
        3    0.000    0.000    0.000    0.000 six.py:837(wrapper)
        1    0.000    0.000    0.000    0.000 core.py:2708(MaskedArray)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6715(<genexpr>)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:231(_add_array_type)
        1    0.000    0.000    0.001    0.001 stata.py:11(<module>)
        1    0.000    0.000    0.002    0.002 algorithms.py:4(<module>)
       48    0.000    0.000    0.000    0.000 config.py:707(config_prefix)
       84    0.000    0.000    0.000    0.000 overrides.py:105(decorator)
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       23    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        2    0.000    0.000    0.000    0.000 timedeltas.py:1(<module>)
        1    0.000    0.000    0.001    0.001 take.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _ufunc_config.py:5(<module>)
       23    0.000    0.000    0.003    0.000 overrides.py:206(decorator)
      220    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 range.py:57(RangeIndex)
        1    0.000    0.000    0.000    0.000 interval.py:145(IntervalIndex)
       72    0.000    0.000    0.000    0.000 config.py:737(wrap)
        1    0.000    0.000    0.001    0.001 einsumfunc.py:4(<module>)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       84    0.000    0.000    0.000    0.000 overrides.py:94(set_module)
      147    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
       19    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:740(create_module)
        1    0.000    0.000    0.000    0.000 inspect.py:1089(getfullargspec)
       22    0.000    0.000    0.001    0.000 typing.py:749(__getitem__)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.001    0.001 type_check.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_types)
        1    0.000    0.000    0.000    0.000 pathlib.py:620(PurePath)
       19    0.000    0.000    0.000    0.000 enum.py:447(_get_mixins_)
      251    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.006    0.006 ewm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetimelike.py:144(DatetimeLikeArrayMixin)
        1    0.000    0.000    0.005    0.005 shutil.py:5(<module>)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:67(<genexpr>)
        1    0.000    0.000    0.017    0.017 py3k.py:12(<module>)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
        1    0.000    0.000    0.001    0.001 _json.py:1(<module>)
        1    0.000    0.000    0.000    0.000 melt.py:1(<module>)
        1    0.000    0.000    0.001    0.001 array.py:3(<module>)
        1    0.000    0.000    0.000    0.000 config.py:49(<module>)
       44    0.000    0.000    0.000    0.000 core.py:138(get_object_signature)
        1    0.000    0.000    0.000    0.000 _openpyxl.py:31(OpenpyxlWriter)
       78    0.000    0.000    0.000    0.000 _internal.py:792(<genexpr>)
       15    0.000    0.000    0.000    0.000 _internal.py:827(npy_ctypes_check)
        1    0.000    0.000    0.000    0.000 selectors.py:80(BaseSelector)
        1    0.000    0.000    0.003    0.003 concat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 managers.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetimelike.py:1(<module>)
        1    0.000    0.000    0.001    0.001 polynomial.py:4(<module>)
       53    0.000    0.000    0.022    0.000 re.py:234(compile)
       24    0.000    0.000    0.000    0.000 contextlib.py:81(__init__)
        1    0.000    0.000    0.002    0.002 ops.py:3(<module>)
        1    0.000    0.000    0.002    0.002 rolling.py:4(<module>)
        1    0.000    0.000    0.000    0.000 construction.py:4(<module>)
       14    0.000    0.000    0.000    0.000 array_ops.py:399(get_array_op)
        1    0.000    0.000    0.029    0.029 overrides.py:1(<module>)
      118    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        6    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       63    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 sql.py:4(<module>)
        1    0.000    0.000    0.000    0.000 datetimelike.py:77(DatetimeIndexOpsMixin)
        2    0.000    0.000    0.004    0.002 accessor.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _parser.py:309(_convert)
        1    0.000    0.000    0.002    0.002 dis.py:1(<module>)
       10    0.000    0.000    0.000    0.000 typing.py:824(__class_getitem__)
        1    0.000    0.000    0.001    0.001 twodim_base.py:3(<module>)
       18    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 html.py:5(<module>)
        3    0.000    0.000    0.000    0.000 numba_.py:1(<module>)
        1    0.000    0.000    0.007    0.007 zipfile.py:5(<module>)
        1    0.000    0.000    0.000    0.000 common.py:5(<module>)
        1    0.000    0.000    0.000    0.000 base.py:90(ExtensionArray)
        3    0.000    0.000    0.000    0.000 _decorators.py:321(decorate)
       38    0.000    0.000    0.001    0.000 typing.py:1202(_alias)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
        1    0.000    0.000    0.017    0.017 __init__.py:10(<module>)
      116    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
        1    0.000    0.000    0.000    0.000 apply.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetimelike.py:3(<module>)
      136    0.000    0.000    0.000    0.000 typing.py:481(__hash__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 hashlib.py:54(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
       20    0.000    0.000    0.000    0.000 dataclasses.py:598(_is_type)
        1    0.000    0.000    0.000    0.000 array_manager.py:3(<module>)
        1    0.000    0.000    0.000    0.000 blocks.py:146(Block)
        1    0.000    0.000    0.000    0.000 timedeltas.py:96(TimedeltaArray)
      339    0.000    0.000    0.000    0.000 _typing.py:77(<lambda>)
       33    0.000    0.000    0.000    0.000 typing.py:199(_check_generic)
        1    0.000    0.000    0.007    0.007 secrets.py:7(<module>)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:29(<module>)
        1    0.000    0.000    0.001    0.001 pivot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dataclasses.py:1(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
       51    0.000    0.000    0.000    0.000 six.py:177(_add_module)
        1    0.000    0.000    0.001    0.001 opcode.py:5(<module>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:461(wrapper)
        1    0.000    0.000    0.000    0.000 pathlib.py:119(_WindowsFlavour)
       64    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 ewm.py:119(ExponentialMovingWindow)
        1    0.000    0.000    0.001    0.001 copy.py:49(<module>)
        1    0.000    0.000    0.000    0.000 range.py:1(<module>)
        1    0.000    0.000    0.002    0.002 array_ops.py:4(<module>)
        2    0.000    0.000    0.000    0.000 lazy.py:139(__new__)
       26    0.000    0.000    0.000    0.000 core.py:922(__init__)
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 base_parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 reshape.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
      159    0.000    0.000    0.000    0.000 expr.py:257(_node_not_implemented)
        1    0.000    0.000    0.000    0.000 base.py:5(<module>)
        6    0.000    0.000    0.001    0.000 dataclasses.py:364(_create_fn)
        1    0.000    0.000    0.000    0.000 datetimes.py:151(DatetimeArray)
        1    0.000    0.000    0.000    0.000 docstrings.py:3(<module>)
        2    0.000    0.000    0.000    0.000 lazy.py:84(__new__)
        1    0.000    0.000    0.000    0.000 numeric.py:82(NumericIndex)
       52    0.000    0.000    0.000    0.000 common.py:30(wrapper)
        1    0.000    0.000    0.002    0.002 _parser.py:30(<module>)
        1    0.000    0.000    0.000    0.000 tz.py:488(_read_tzfile)
       24    0.000    0.000    0.000    0.000 tokenize.py:143(<listcomp>)
       30    0.000    0.000    0.000    0.000 getlimits.py:40(<lambda>)
       90    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
        8    0.000    0.000    0.000    0.000 enum.py:130(__prepare__)
        1    0.000    0.000    0.000    0.000 pickle_compat.py:3(<module>)
        1    0.000    0.000    0.001    0.001 _core.py:1(<module>)
        1    0.000    0.000    0.008    0.008 api.py:1(<module>)
        1    0.000    0.000    0.000    0.000 construction.py:6(<module>)
        1    0.000    0.000    0.005    0.005 base.py:8(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
      119    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
       56    0.000    0.000    0.000    0.000 _decorators.py:436(__init__)
       64    0.000    0.000    0.000    0.000 typing.py:634(<genexpr>)
        1    0.000    0.000    0.012    0.012 __init__.py:124(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:763(__init__)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1473(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 _exceptions.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:5(<module>)
        1    0.000    0.000    5.481    5.481 solve.py:1(<module>)
        1    0.000    0.000    0.000    0.000 string_.py:1(<module>)
        2    0.000    0.000    0.000    0.000 generic.py:146(pinner)
        1    0.000    0.000    0.000    0.000 base.py:258(IndexOpsMixin)
        1    0.000    0.000    0.000    0.000 inspect.py:2117(_signature_from_function)
       13    0.000    0.000    0.000    0.000 typing.py:685(__mro_entries__)
        2    0.000    0.000    0.000    0.000 core.py:2975(__array_finalize__)
        1    0.000    0.000    0.003    0.003 financial.py:12(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:633(Popen)
        8    0.000    0.000    0.000    0.000 enum.py:157(<dictcomp>)
       24    0.000    0.000    0.000    0.000 contextlib.py:116(__exit__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
        1    0.000    0.000    0.000    0.000 accessors.py:3(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:24(<module>)
        1    0.000    0.000    0.000    0.000 common.py:77(IOHandles)
        1    0.000    0.000    0.000    0.000 period.py:80(PeriodIndex)
       11    0.000    0.000    0.000    0.000 nanops.py:75(__init__)
      132    0.000    0.000    0.000    0.000 six.py:88(__init__)
        7    0.000    0.000    0.000    0.000 _decorators.py:165(_deprecate_kwarg)
        2    0.000    0.000    0.000    0.000 core.py:6532(__setattr__)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
        1    0.000    0.000    0.000    0.000 tile.py:3(<module>)
        1    0.000    0.000    0.001    0.001 decimal.py:2(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:109(<module>)
        3    0.000    0.000    0.000    0.000 enum.py:895(<listcomp>)
        8    0.000    0.000    0.000    0.000 enum.py:64(__init__)
        3    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
       24    0.000    0.000    0.000    0.000 contextlib.py:107(__enter__)
       20    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      137    0.000    0.000    0.000    0.000 expr.py:183(<genexpr>)
        1    0.000    0.000    0.001    0.001 category.py:1(<module>)
       28    0.000    0.000    0.000    0.000 generic.py:102(generate_property)
        1    0.000    0.000    0.003    0.003 masked.py:1(<module>)
        6    0.000    0.000    0.000    0.000 nanops.py:111(__call__)
        1    0.000    0.000    0.001    0.001 expressions.py:7(<module>)
        1    0.000    0.000    0.001    0.001 dtypes.py:3(<module>)
       44    0.000    0.000    0.000    0.000 six.py:105(__init__)
       18    0.000    0.000    0.000    0.000 core.py:998(__init__)
       74    0.000    0.000    0.000    0.000 signal.py:17(<lambda>)
       75    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:186(_set_up_aliases)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.001    0.001 polynomial.py:74(<module>)
        3    0.000    0.000    0.000    0.000 enum.py:877(_decompose)
       10    0.000    0.000    0.000    0.000 functools.py:492(decorating_function)
        6    0.000    0.000    0.000    0.000 os.py:676(__getitem__)
       27    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 expr.py:323(f)
        1    0.000    0.000    0.000    0.000 groupby.py:571(BaseGroupBy)
        1    0.000    0.000    0.000    0.000 managers.py:89(BaseBlockManager)
        1    0.000    0.000    0.001    0.001 generic.py:161(SeriesGroupBy)
        1    0.000    0.000    0.001    0.001 integer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _mixins.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method _csv.register_dialect}
       17    0.000    0.000    0.000    0.000 dtypes.py:897(construct_from_string)
       16    0.000    0.000    0.000    0.000 config.py:807(is_one_of_factory)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
        1    0.000    0.000    0.003    0.003 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:133(_get_indent)
        2    0.000    0.000    0.000    0.000 platform.py:1172(_sys_version)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
        1    0.000    0.000    0.000    0.000 pathlib.py:1010(Path)
        1    0.000    0.000    0.000    0.000 datetime.py:1509(datetime)
        1    0.000    0.000    0.000    0.000 _polybase.py:17(ABCPolyBase)
        7    0.000    0.000    0.000    0.000 enum.py:835(__or__)
       73    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       22    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 excel.py:3(<module>)
        1    0.000    0.000    0.000    0.000 grouper.py:4(<module>)
        1    0.000    0.000    0.022    0.022 describe.py:5(<module>)
        1    0.000    0.000    0.000    0.000 printing.py:3(<module>)
        1    0.000    0.000    0.012    0.012 _pickle.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:17(_fr0)
        6    0.000    0.000    0.000    0.000 _exceptions.py:17(_display_as_base)
        3    0.000    0.000    0.000    0.000 datetime.py:1517(__new__)
        1    0.000    0.000    0.000    0.000 hermite_e.py:77(<module>)
       79    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f11f53e0d40}
        1    0.000    0.000    0.000    0.000 pprint.py:98(PrettyPrinter)
        1    0.000    0.000    0.000    0.000 ops.py:110(WrappedCythonOp)
        1    0.000    0.000    0.000    0.000 info.py:1(<module>)
        1    0.000    0.000    0.000    0.000 extension.py:3(<module>)
        1    0.000    0.000    0.000    0.000 floating.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arraylike.py:23(OpsMixin)
        1    0.000    0.000    0.003    0.003 boolean.py:1(<module>)
       29    0.000    0.000    0.000    0.000 nanops.py:77(<genexpr>)
        1    0.000    0.000    0.005    0.005 hashing.py:3(<module>)
       26    0.000    0.000    0.000    0.000 core.py:6750(__init__)
        1    0.000    0.000    0.000    0.000 python_parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
        1    0.000    0.000    0.005    0.005 traceback.py:1(<module>)
       16    0.000    0.000    0.000    0.000 getlimits.py:522(max)
        1    0.000    0.000    0.000    0.000 defchararray.py:1805(chararray)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _asarray.py:5(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:372(_Pickler)
       40    0.000    0.000    0.000    0.000 enum.py:664(<lambda>)
       12    0.000    0.000    0.000    0.000 os.py:754(encode)
    33/19    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
        7    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       72    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 _io.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stata.py:1043(StataReader)
        1    0.000    0.000    0.000    0.000 parquet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 align.py:3(<module>)
        1    0.000    0.000    0.000    0.000 array_manager.py:100(BaseArrayManager)
        1    0.000    0.000    0.000    0.000 category.py:56(CategoricalIndex)
        1    0.000    0.000    0.001    0.001 datetimes.py:108(DatetimeIndex)
        1    0.000    0.000    0.000    0.000 string_arrow.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:12(BaseStringArrayMethods)
        1    0.000    0.000    0.000    0.000 sorting.py:1(<module>)
       17    0.000    0.000    0.000    0.000 dtypes.py:1139(construct_from_string)
        1    0.000    0.000    0.032    0.032 _decorators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 typing.py:1490(IO)
        1    0.000    0.000    0.001    0.001 arraysetops.py:27(<module>)
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
        5    0.000    0.000    0.000    0.000 datetime.py:396(_check_date_fields)
       41    0.000    0.000    0.000    0.000 re.py:254(escape)
       18    0.000    0.000    0.000    0.000 abc.py:130(register)
       90    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 xml.py:3(<module>)
        1    0.000    0.000    0.000    0.000 pytables.py:488(HDFStore)
        1    0.000    0.000    0.005    0.005 engines.py:3(<module>)
        1    0.000    0.000    0.000    0.000 rolling.py:757(Window)
        1    0.000    0.000    0.000    0.000 zipfile.py:1182(ZipFile)
        1    0.000    0.000    0.000    0.000 format.py:483(DataFrameFormatter)
        1    0.000    0.000    0.000    0.000 putmask.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _mixins.py:69(NDArrayBackedExtensionArray)
       52    0.000    0.000    0.000    0.000 common.py:17(unpack_zerodim_and_defer)
       14    0.000    0.000    0.000    0.000 calendar.py:77(__getitem__)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:74(__call__)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
       16    0.000    0.000    0.000    0.000 _string_helpers.py:72(english_capitalize)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
        5    0.000    0.000    0.000    0.000 datetime.py:409(_check_time_fields)
        1    0.000    0.000    0.000    0.000 legendre.py:81(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:77(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:231(_sanity_check)
       24    0.000    0.000    0.000    0.000 contextlib.py:237(helper)
      160    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       47    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 _normalize.py:3(<module>)
        1    0.000    0.000    0.002    0.002 scope.py:3(<module>)
        1    0.000    0.000    0.000    0.000 ops.py:670(BaseGrouper)
        2    0.000    0.000    0.000    0.000 dataclasses.py:476(_init_fn)
        1    0.000    0.000    0.000    0.000 numpy_.py:30(PandasArray)
        1    0.000    0.000    0.000    0.000 masked.py:105(BaseMaskedArray)
       17    0.000    0.000    0.000    0.000 dtypes.py:738(construct_from_string)
        4    0.000    0.000    0.000    0.000 typing.py:241(_tp_cache)
       62    0.000    0.000    0.000    0.000 lazy.py:96(lazy)
        1    0.000    0.000    0.000    0.000 laguerre.py:77(<module>)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:132(geterr)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:239(_set_array_types)
       23    0.000    0.000    0.000    0.000 overrides.py:202(array_function_from_dispatcher)
        1    0.000    0.000    0.000    0.000 datetime.py:2136(timezone)
        6    0.000    0.000    0.000    0.000 sre_parse.py:837(_parse_flags)
        2    0.000    0.000    0.000    0.000 sre_parse.py:945(parse_template)
        3    0.000    0.000    0.000    0.000 enum.py:805(_create_pseudo_member_)
        4    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       34    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
